"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"Qgram_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.708,0.739,0.683,0.652,0.75,0.76,0.715
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.706,0.723,0.704,0.655,0.754,0.749,0.715
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.707,0.731,0.701,0.647,0.753,0.752,0.715
"Jaccard_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.biosses_ner.none",0.731,0.78,0.691,0.68,0.68,0.727,0.714
"Qgram_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.705,0.731,0.684,0.653,0.752,0.762,0.714
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.682,0.724,0.702,0.688,0.726,0.754,0.712
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.719,0.744,0.679,0.632,0.755,0.746,0.712
"Jaccard_tok.whitespace_lc_sw.biosses2017stopwords_cf.none_ner.none",0.686,0.727,0.664,0.645,0.756,0.797,0.712
"BlockDistance_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.719,0.745,0.678,0.631,0.755,0.745,0.712
"Qgram_tok.whitespace_notlc_sw.nonestopwords_cf.blagec2019_ner.none",0.681,0.716,0.702,0.687,0.727,0.756,0.711
"BlockDistance_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.713,0.741,0.679,0.632,0.755,0.743,0.71
"BlockDistance_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.713,0.739,0.68,0.634,0.753,0.744,0.71
"BlockDistance_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.713,0.741,0.679,0.632,0.754,0.743,0.71
"Qgram_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.biosses_ner.none",0.688,0.724,0.682,0.669,0.733,0.763,0.71
"BlockDistance_tok.whitespace_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.691,0.724,0.697,0.65,0.755,0.743,0.71
"BlockDistance_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.713,0.739,0.678,0.632,0.753,0.745,0.709
"Qgram_tok.biocnlptokenizer_notlc_sw.nonestopwords_cf.default_ner.none",0.684,0.722,0.684,0.671,0.732,0.762,0.709
