"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.default_ner.none",0.782351450503171,0.801496030666538,0.791808036593786,0.741326088142897,0.692455502292022,0.716057915866329,0.794435801467101,0.807345152578345,0.800838456381045,0.769568136280387
"BlockDistance_tok.whitespace_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.793606427711285,0.814356192772709,0.803847428787099,0.732398460228638,0.683485660752538,0.707097195463452,0.795035347745953,0.798751192823138,0.796888938617699,0.769277854289417
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.782517812985959,0.802564979184203,0.792414623882845,0.740856879815562,0.691202656666136,0.715168930470574,0.793437185107465,0.806031015025237,0.79968451966457,0.769089358005996
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.782034786947382,0.802479093550443,0.792125048165913,0.740840940888351,0.691199808957271,0.715159979721186,0.793007616608887,0.80688991465129,0.799888537335722,0.769057855074273
"LiMixed_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.789683627295678,0.799701945976163,0.794661212576463,0.753444217251578,0.691228322499262,0.720996583042133,0.789511517798909,0.789926739117729,0.789719073879186,0.76845895649926
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.794723413923922,0.815036821851393,0.804751951427691,0.762258882358049,0.705545988893276,0.732806802156887,0.768368834483387,0.766551485379917,0.767459084058943,0.768339279214507
"LiMixed_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.789164610426115,0.803747490525813,0.796389298395961,0.75272438049984,0.688437133836709,0.719146896340597,0.788882328678999,0.789590865550623,0.78923643809263,0.768257544276396
"LiMixed_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.789696823833899,0.799581109484149,0.794608229712148,0.753122745964326,0.6906873582105,0.72055509005546,0.7888313516727,0.789270317013194,0.789050773291566,0.768071364353058
"LiMixed_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.787223832292056,0.799393344967333,0.793261917939097,0.754093925823744,0.691947881041739,0.721685488763639,0.788934130461911,0.789313737930614,0.789123888543792,0.768023765082176
"LiMixed_tok.whitespace_lc_sw.biosses2017stopwords_cf.none_ner.none",0.778191725020604,0.803942117385412,0.790857367912013,0.745730767197595,0.689435640042957,0.716479101223032,0.795544501935895,0.797798885666024,0.796670098963951,0.768002189366332
