
SNOMED Id1;SNOMED Id1;Rada;AncSPLRada
31836009;716195006;-4.0;-4.5
191909007;427819000;-3.5;-3.5
417089009;278188001;-4.5;-5.0
72845001;132885001;-8.5;-9.0
423190004;46392004;-6.0;-6.0
440758005;284514000;-7.5;-8.5
5841000175106;66642002;-3.5;-3.5
64001003;158755001;-4.5;-4.5
244211008;111956001;-4.0;-4.0
73912005;117512001;-9.0;-9.0
360839000;701316005;-6.0;-6.0
764502005;770816002;-4.5;-6.5
779944008;42764009;-2.5;-2.5
445446007;337128008;-4.0;-4.5
73816009;732572001;-3.5;-3.5
114988005;418488007;-6.0;-6.5
707314000;303428003;-5.0;-6.5
63855009;385183002;-5.5;-5.5
115226005;277657001;-6.0;-6.5
48775002;49005002;-3.0;-3.0
105029001;715338007;-5.5;-6.0
402308005;430331000124102;-2.5;-3.0
110282008;429354005;-1.5;-1.5
259653007;761918007;-4.5;-5.0
11550000;32929005;-5.5;-6.5
30411002;105116004;-5.0;-5.0
702315006;231092008;-4.5;-5.0
715396009;300135004;-4.0;-5.0
720122005;269932004;-6.5;-7.5
274410002;467909006;-6.5;-7.5
131676000;104680005;-9.0;-10.0
782378004;286891000;-5.5;-6.0
45331003;182639000;-4.5;-4.5
399072004;432807008;-4.0;-6.0
712893003;730822004;-7.0;-7.0
291594000;30897009;-1.0;-3.5
780184004;769353008;-2.5;-2.5
112668009;421102007;-5.0;-5.0
28860009;438016003;-6.5;-7.0
193031009;159249000;-6.5;-6.5
102648007;166384002;-4.5;-5.0
448686005;28909007;-5.5;-5.5
771872000;16021003;-3.5;-3.5
192709004;365688004;-3.0;-3.0
767176006;184085002;-4.5;-6.0
125496002;385957006;-4.0;-4.0
125646009;12577006;-5.5;-7.0
51316009;16815003;-5.0;-5.0
702869004;333777006;-3.0;-3.0
248762000;371122009;-3.0;-5.0
125791000119106;131558003;-9.0;-9.0
426167003;443209008;-8.5;-8.5
39996008;253763002;-4.5;-5.5
368486009;726782007;-4.5;-4.5
41025001;117367004;-7.5;-8.0
225535002;466851008;-6.5;-6.5
80844002;365979005;-7.0;-7.0
112819006;245702002;-6.0;-7.0
708754004;248801002;-5.5;-7.0
47137009;128767001;-9.5;-9.5
231704008;80077002;-4.0;-5.0
698696007;9227008;-4.0;-4.5
209223003;387596007;-5.5;-5.5
106305009;81450008;-5.5;-5.5
16947009;128441007;-4.0;-4.0
385158002;46644005;-4.0;-4.0
231034006;95618001;-4.5;-5.0
52391000;439126002;-3.5;-3.5
780073009;708659000;-4.0;-4.0
61153008;22851009;-3.5;-3.5
121865008;16671391000119109;-6.5;-7.0
11306921000119104;47808008;-5.5;-6.0
73115006;444577000;-4.0;-4.0
426419000;249390006;-4.0;-5.0
405656000;440441000124100;-3.0;-3.0
465641002;23859002;-5.5;-5.5
86748000;205299003;-6.0;-6.5
787117001;710150006;-3.5;-3.5
247099009;735181008;-4.0;-4.0
761937003;28368009;-5.0;-5.0
312418006;424222002;-7.0;-7.0
110510006;241908004;-5.0;-5.0
72945002;305789006;-4.5;-4.5
729088000;438064007;-5.0;-5.0
776646007;372203005;-2.5;-2.5
773884006;392470000;-5.0;-5.0
59782002;714795001;-3.5;-5.0
50763000;724845009;-5.0;-5.0
105011006;42729000;-3.0;-4.0
22698004;778824006;-7.5;-7.5
406179007;433656002;-7.0;-7.5
184004;95102006;-2.5;-2.5
454731000124108;120619002;-6.0;-7.0
71665009;114158002;-10.0;-10.0
235985005;42320003;-5.0;-5.5
365593006;249589003;-4.5;-5.0
410904001;447898000;-4.5;-4.5
29174006;11310521000119109;-5.5;-6.5
69071001;40508004;-6.5;-7.0
59937009;242253008;-4.0;-4.0
1089711000119103;767564002;-3.5;-3.5
237508001;732227008;-3.5;-4.0
35836001;301476007;-6.5;-7.5
229353001;223976000;-6.5;-6.5
121173001;81164001;-5.5;-6.5
121599001;397295008;-6.0;-6.0
11003051000119102;391900009;-7.5;-7.5
41640000;451741000124100;-6.0;-6.0
73098005;415386008;-6.0;-6.0
438981000124103;427036009;-5.5;-5.5
10946491000119101;112244005;-5.5;-5.5
210931000;261036001;-3.5;-3.5
272186008;75577001;-7.5;-7.5
298468004;778350004;-4.5;-4.5
116423005;729710007;-7.0;-7.5
217875000;260561002;-4.5;-4.5
283015002;292634007;-3.0;-4.0
118612006;64931006;-7.0;-7.0
448781006;200054002;-3.0;-3.0
406952009;467619003;-5.5;-6.5
462924009;233904005;-6.0;-7.0
44832008;229784001;-4.0;-4.0
306250006;727793001;-8.5;-10.0
59004005;131064004;-6.0;-6.0
311709008;103445005;-6.0;-6.5
344071000119102;777649006;-4.0;-4.0
778231002;707502009;-5.5;-6.5
54720006;210370001;-4.0;-5.0
115245001;294465009;-8.0;-8.5
325378005;373230006;-3.0;-3.0
777129001;468480002;-5.5;-6.0
272785001;274351004;-7.0;-7.5
94286009;162115004;-4.0;-7.0
29756008;10751311000119100;-2.0;-5.0
28585007;444659003;-4.0;-5.0
246194005;442811000;-5.5;-5.5
421798009;54237000;-5.0;-5.0
1158002;39546001;-7.0;-7.0
377458004;213305009;-4.0;-4.5
120965001;298718008;-6.0;-7.5
103428000;177048007;-6.0;-7.0
47286004;710287009;-3.0;-3.0
309538000;364461005;-5.0;-5.0
468981005;722834005;-4.5;-5.5
461431000;117066004;-4.5;-5.0
16324631000119105;433273005;-6.5;-8.5
31948006;365980008;-2.5;-3.0
298737004;197773005;-6.5;-8.0
70194005;434059004;-5.5;-5.5
303508000;288872006;-6.5;-7.5
123719009;42987007;-4.0;-4.0
373556003;447777009;-4.0;-4.0
321887002;450617000;-5.5;-5.5
730943002;66147007;-6.5;-10.0
730647004;255431007;-6.0;-7.5
729615006;427112007;-6.5;-6.5
2536007;118784006;-1.5;-2.0
215635009;710444009;-5.5;-5.5
406029007;216900003;-6.5;-6.5
427373001;418403001;-3.5;-3.5
14069002;276690008;-4.0;-4.0
249281001;69827001;-3.5;-3.5
60967006;392664003;-7.5;-7.5
190755005;426929000;-4.0;-4.0
31837000;426929000;-3.5;-4.0
55370004;260912008;-4.5;-5.0
121150009;35807001;-5.0;-5.0
42646009;423623006;-7.0;-7.0
773911009;33353001;-3.0;-3.0
379004;763600004;-5.5;-7.5
47771009;288079001;-3.5;-4.0
11308281000119106;66036002;-6.0;-7.0
287212005;362395009;-6.0;-10.0
400098000;37385004;-7.0;-7.5
777546008;259678006;-3.5;-3.5
411899007;473374005;-5.5;-6.0
206007;58955007;-5.0;-6.0
364913007;766816008;-3.5;-5.5
767227007;66725002;-5.0;-5.5
