
GO Id1;GO Id1;Rada;AncSPLRada
GO:0007215;GO:0140216;-2.5;-3.0
GO:0033432;GO:0033519;-4.5;-4.5
GO:1904616;GO:0102824;-5.0;-5.0
GO:0060550;GO:0030070;-3.5;-4.5
GO:0018577;GO:0031718;-5.0;-5.0
GO:0035940;GO:0003999;-5.5;-5.5
GO:0044350;GO:0017044;-5.0;-5.5
GO:0000969;GO:0031868;-7.0;-7.0
GO:0005168;GO:0032411;-5.5;-5.5
GO:0032931;GO:0007154;-6.5;-6.5
GO:0009690;GO:0032692;-2.5;-4.0
GO:0060709;GO:1901115;-3.0;-3.0
GO:0097729;GO:0032135;-6.0;-6.0
GO:0047324;GO:0047177;-2.0;-2.0
GO:0098573;GO:1905174;-4.0;-4.0
GO:1902605;GO:0046181;-4.0;-4.0
GO:0032670;GO:0008490;-5.0;-5.0
GO:0018671;GO:0008519;-3.0;-4.5
GO:1900897;GO:0031358;-6.5;-6.5
GO:0060295;GO:1905200;-3.0;-4.5
GO:0010226;GO:0033960;-5.0;-5.0
GO:0097230;GO:0003388;-2.5;-2.5
GO:0019780;GO:0097094;-4.0;-4.0
GO:0044091;GO:0019452;-2.5;-2.5
GO:0002373;GO:1901647;-4.0;-4.5
GO:0009657;GO:0021922;-2.0;-3.5
GO:0098017;GO:1900395;-5.0;-5.0
GO:0098763;GO:0009609;-2.5;-2.5
GO:1904859;GO:1904924;-3.0;-4.0
GO:0045655;GO:0031042;-5.0;-6.0
GO:0019815;GO:0002218;-3.0;-3.0
GO:0072718;GO:1905871;-3.5;-4.0
GO:0071989;GO:0050016;-4.5;-4.5
GO:0010595;GO:0120068;-2.5;-3.5
GO:0047861;GO:0042647;-4.5;-4.5
GO:0046019;GO:1904748;-1.5;-3.0
GO:0102688;GO:1902834;-5.5;-6.0
GO:0103012;GO:0047923;-3.0;-3.0
GO:0008252;GO:0015160;-3.5;-4.5
GO:0033333;GO:1903602;-4.5;-5.0
GO:0060340;GO:0070945;-4.0;-5.5
GO:0051997;GO:0004658;-3.0;-3.0
GO:0019283;GO:0010475;-5.0;-5.0
GO:0007527;GO:1902400;-4.0;-4.5
GO:0097632;GO:0140376;-4.0;-4.0
GO:1905447;GO:0018387;-4.0;-6.5
GO:0016112;GO:0034041;-5.0;-5.0
GO:0070992;GO:0033656;-5.0;-5.0
GO:0009693;GO:0060664;-2.5;-2.5
GO:0070576;GO:0003369;-5.0;-5.0
GO:0062058;GO:0032901;-4.0;-4.0
GO:0002338;GO:0042551;-3.5;-3.5
GO:0042144;GO:0043529;-4.0;-4.5
GO:0009087;GO:0042933;-5.0;-5.0
GO:0019230;GO:1904311;-3.5;-3.5
GO:0050203;GO:0005158;-3.0;-3.0
GO:0038109;GO:0031855;-5.0;-5.0
GO:1905773;GO:0034969;-7.0;-7.0
GO:1990910;GO:0030320;-4.0;-4.0
GO:0051301;GO:0046361;-2.0;-2.0
GO:0035813;GO:0047945;-4.5;-4.5
GO:1904450;GO:0061726;-3.5;-5.0
GO:0070150;GO:0071837;-6.0;-6.0
GO:0016973;GO:0004765;-6.0;-6.0
GO:0050778;GO:0032618;-2.0;-3.0
GO:0052359;GO:1905270;-5.0;-5.5
GO:0071702;GO:0075032;-4.5;-5.0
GO:0045271;GO:0103037;-4.5;-4.5
GO:0051120;GO:1901058;-4.0;-4.0
GO:0072181;GO:0006014;-4.5;-4.5
GO:0021791;GO:1990896;-3.5;-5.0
GO:0106257;GO:0004173;-2.5;-4.0
GO:0021936;GO:1904235;-1.0;-2.0
GO:0000007;GO:0070082;-6.0;-6.5
GO:0010597;GO:0018881;-2.0;-2.0
GO:0051045;GO:0042084;-5.5;-6.0
GO:0061048;GO:0047756;-6.0;-6.0
GO:0060283;GO:0048378;-1.5;-2.5
GO:1903452;GO:0004971;-6.0;-6.5
